recordIdentifier,rc,ticker,crncy,securityTyp,name,lastUpdateDt,idBbCompany,pricingSource,pxLast,chgPct1D,chgPct3D,chgPct5D,chgPct1M,chgPct3M,chgPct6M,chgPctYtd,chgPctMovAvg5D,chgPctMovAvg20D,chgPctMovAvg50D,chgPctMovAvg100D,waccNetOperProfit,eqyRawBeta6M,volatility10D,volatility30D,volatility180D,volatility360D,lqaLiquidationConfidence,lqaLiquidityScore,lqaMarketRiskFlag,bdvdNextProjAct,bdvdProjDivAmt,returnComEqy,retrnOnCommnEqtyAdjstd,returnOnInvCapital,waccTotalInvCapital,bestPeRatio,bestTargetPrice,degreeFinancialLeverage,degreeOperatingLeverage,ebitda,ebitdaToRevenue,currentEvToT12mEbitda,netIncome,cfNetInc,cfFreeCashFlow,freeCashFlowEquity,freeCashFlowMargin,salesRevTurn,operMargin,freeCashFlowPerSh,esgLinkedBonus,industryGroup,curMktCap,dvdPayoutRatio,effTaxRate,totDebtToTotAsset,totDebtToComEqy
BBG000BFX694,0,DVAX,USD,Common Stock,DYNAVAX TECHNOLOGIES CORP,2022-01-26,917088,US,12.350000,-1.984,-3.966,-2.985,-12.721,-35.610,33.082,-12.225,-3.425,-8.352,-14.365,-23.235,41.87,1.308,50.950,62.949,76.525,93.156,49.517,77,true,,,-56.31,-241.05,10.36,325.62,5.867,30.250,,1.53,-55.33,-118.86,23.82,-75.24,-75.24,-96.32,-89.47,-206.92,46.55,-146.87,-0.96,false,Biotechnology,1481.41,,,61.67,371.16
BBG000BP0KQ8,0,EA,USD,Common Stock,ELECTRONIC ARTS INC,2022-01-26,103678,US,129.980000,-0.786,-6.496,-5.062,-1.931,-8.722,-10.513,-1.456,-4.568,-2.540,-0.840,-3.684,1088.00,0.187,32.938,27.160,25.299,26.912,49.764,96,true,MAINTAIN,0.17,9.85,11.29,10.64,7980.00,17.960,169.630,1.04,,1314.00,23.34,26.59,837.00,837.00,1810.00,2688.00,32.15,5629.00,18.58,6.26,false,Software,36759.40,11.71,17.70,16.21,27.47
BBG000DWJZM2,0,EBIX,USD,Common Stock,EBIX INC,2022-01-26,103388,US,29.530000,-1.567,-0.706,-3.905,-4.217,-7.021,-2.958,-2.862,-2.076,-4.523,-6.730,-4.437,114.33,2.310,87.888,75.333,53.405,83.760,49.329,51,true,MAINTAIN,0.075,11.76,18.04,8.08,1323.78,,75.000,1.34,,152.28,24.34,10.91,92.38,92.38,95.02,75.19,15.19,625.61,20.11,3.11,false,Software,913.76,9.91,5.66,46.19,118.30
BBG000FKJRC5,0,EL,USD,Common Stock,ESTEE LAUDER COMPANIES-CL A,2022-01-26,179046,US,292.570000,-0.557,-1.498,-5.476,-20.061,-11.624,-12.225,-20.970,-2.710,-13.658,-15.357,-12.684,2850.00,1.391,28.775,35.876,25.376,27.113,49.733,94,true,MAINTAIN,0.6,57.70,46.94,16.96,14989.00,38.274,373.038,1.07,24.70,3739.00,23.06,31.25,2870.00,2870.00,2994.00,2387.00,18.46,16215.00,16.15,8.25,false,Cosmetics/Personal Care,105309.81,26.38,13.69,36.94,134.01
BBG00DB0LJG6,0,ESG,USD,ETP,FLEXSHARES STOXX US ESG SELE,2022-01-26,50096638,US,106.374500,-0.417,-1.368,-4.037,-7.805,-4.929,-1.760,-8.426,-2.033,-6.361,-6.515,-4.813,,1.000,11.197,16.591,12.721,15.201,49.898,98,true,INCREASE,0.388499,,,,,,,,,,,,,,,,,,,,,,188.81,,,,
BBG00FFPFT13,0,ESGU,USD,ETP,ISHARES ESG AWARE MSCI USA,2022-01-26,51799650,US,97.470000,-0.449,-1.316,-4.282,-8.881,-6.861,-3.923,-9.666,-2.241,-7.008,-7.628,-6.421,,0.999,13.222,16.865,13.094,15.199,49.893,100,true,INCREASE,0.334368,,,,,,,,,,,,,,,,,,,,,,23358.69,,,,
BBG00M0P2RX7,0,ESGV,USD,ETP,VANGUARD ESG US STOCK ETF,2022-01-26,61034167,US,78.200000,-0.306,-1.375,-4.553,-10.393,-8.000,-5.005,-11.025,-2.353,-7.723,-8.783,-7.648,,1.005,15.397,18.526,13.645,15.795,49.883,99,true,,,,,,,,,,,,,,,,,,,,,,,,5900.19,,,,
BBG000BK2V65,0,EWI,USD,ETP,ISHARES MSCI ITALY ETF,2022-01-26,7014659,US,31.870000,0.950,-1.666,-3.570,-1.878,-5.177,-1.484,-2.865,-1.563,-3.475,-2.459,-2.727,,0.673,12.047,14.466,16.194,18.667,49.902,100,true,INCREASE,0.841292,,,,,,,,,,,,,,,,,,,,,,664.49,,,,
BBG000BK4FC1,0,EWN,USD,ETP,ISHARES MSCI NETHERLANDS ETF,2022-01-26,7014705,US,45.270000,0.266,-3.517,-5.134,-9.005,-13.143,-8.490,-9.857,-3.133,-7.279,-8.493,-10.573,,0.673,16.641,20.537,17.099,18.933,49.857,99,true,INCREASE,0.605307,,,,,,,,,,,,,,,,,,,,,,393.85,,,,
BBG000TYHFH3,0,FGD,USD,ETP,FIRST TRUST DJ GL SEL DVD,2022-01-26,13765862,US,25.500000,-0.546,-1.163,-2.839,1.878,-1.677,-1.174,1.513,-1.381,-1.072,0.497,0.007,,0.880,7.687,10.958,12.329,16.087,49.916,97,true,CUT,0.221613,,,,,,,,,,,,,,,,,,,,,,538.05,,,,
BBG000DW76Y6,0,FICO,USD,Common Stock,FAIR ISAAC CORP,2022-01-26,103869,US,417.290000,0.125,-2.281,-4.902,-4.093,1.575,-22.715,-3.777,-3.092,-4.589,2.172,1.482,505.49,0.861,37.405,32.865,28.264,32.912,49.710,86,true,,,,,33.51,1227.97,28.025,561.167,1.09,41.71,550.63,41.82,22.20,392.08,392.08,416.25,986.50,31.62,1316.54,38.40,14.49,false,Software,11115.89,0.0,17.13,85.14,
BBG0027F2B89,0,GMRE,USD,REIT,GLOBAL MEDICAL REIT INC,2022-01-26,28243599,US,16.450000,-1.615,-1.732,-3.914,-4.082,-0.182,5.381,-7.324,-2.060,-5.652,-3.161,0.449,15.45,0.631,15.930,20.962,21.142,26.530,49.846,85,true,INCREASE,0.21,2.07,-2.15,3.37,1146.02,46.733,18.875,,,53.14,56.69,20.51,-1.93,-1.93,-184.27,-0.75,-196.59,93.73,17.26,-3.98,false,REITS,1056.22,,,47.65,142.87
BBG009S39JX6,0,GOOGL,USD,Common Stock,ALPHABET INC-CL A,2022-01-26,46946968,US,2584.660000,1.810,-0.858,-4.354,-12.036,-7.233,-3.583,-10.783,-1.576,-6.917,-9.568,-9.179,72480.00,1.233,26.443,25.340,21.780,26.412,49.809,96,true,,,30.87,16.72,23.09,278953.00,21.553,3361.911,1.00,1.60,57188.00,31.33,18.47,40269.00,40269.00,42843.00,52504.00,23.47,182527.00,22.59,62.93,false,Internet,1715651.89,0.0,16.25,8.38,12.03
